publishedAt,authorDisplayName,textDisplay,likeCount
2025-10-06T13:41:00Z,@hazmirajabputra,Masih pake syarat cok,1
2025-10-06T13:04:10Z,@tonitole4239,"Magang, bukan kerja atau kariawan prusahaan,<br>Setelah itu mau jadi apa<br>Magang terus?????",2
2025-10-07T14:27:45Z,@MisterAgung-s1z,Ga ada masa depan nya kalau cm magang  😅<br>Lowongan kerja tetep ga ada zongg😂,0
2025-10-07T15:12:38Z,@NONAME-iu4rv,Jadi Termul 😂😂😂,0
2025-10-06T10:53:21Z,@widiatmopetrus3444,"Sarjana stock lama yg masih nganggur jangan &quot;iri&quot;, ini &quot;anomali&quot;, umumnya magang sebelum lulus sarjana.",9
2025-10-06T04:32:27Z,@MahmudJadi-t8u,mantap lek umur 59 masih srmangat kerja untuk menghidupi keluargga masih bisa ikit daftar kah lek,1
2025-10-06T03:41:03Z,@HendarwinMemed,Yg nganggur bukan cuma yg baru lulus 1 thn terakhir sebagaimana persyaratannya. Banyak yg sdh lulus 2 atau 3th lalu juga yg kena phk. Ini cuma solusi tambal sulam yg tidak menyelesaikan masalah pengangguran di negeri ini,74
2025-10-07T09:13:29Z,@JK4R-69,ini cuma akal2an agar anggaran cair 😂 program dadakan,12
2025-10-09T11:12:57Z,@elgoetha8191,program magang cuma berlaku bagi yg fresh graduate atau maksimal lulusnya bru setahun yg lalu...kocak sih menurut gue..🤧,5
2025-10-06T03:19:35Z,@vikicomMax,Banyak program tidak jelas,4
2025-10-07T03:06:58Z,@KucingGENIOUS1234,Iyaaa..byk yg gk jelasnya...dlu jg buka lowongn kerja eh taunya ada yg dphk,0
2025-10-05T22:13:01Z,@TUBAGUSOFFICIAL-y5o9p,Yang LULUSAN SMA/SMK bagaimana mereka semua juga punya potensi untuk berkembang,43
2025-10-10T04:35:30Z,@NMHG012,@TUBAGUSOFFICIAL-y5o9p  iyaa kecewa saam pemerintah,1
2025-10-20T12:32:49Z,@denirafid6548,"@TUBAGUSOFFICIAL-y5o9p jangankan yg lulusan SMA, yg lulusan S1 saja banyak yg menganggur 😁",0
2025-10-20T12:42:14Z,@TUBAGUSOFFICIAL-y5o9p,​@denirafid6548betul mas,0
2025-10-05T20:06:25Z,@Srr210,gak bisa invalid terus,0
2025-10-05T17:18:52Z,@denisFathir-y4o,Usianya Gmn ngaruh enggak&#39;infonya yg jelas dong biar rakyat faham dan cerdas jadi kagak dongo😊,1
2025-10-08T11:31:53Z,@Juandry,@denisFathir-y4o udah jelas itu. Lulusan D3/ S1 maksimal 1 tahun.,0
2025-10-08T12:59:06Z,@denisFathir-y4o,​@Juandrysayang pendidikan  dibatasi ad diskriminasi pendidikan  padahal  punya hak yg sama sebagai warga negara indonesia,1
2025-10-05T11:58:46Z,@susioey8536,Kalau disuruh bayar jgn mau. Itu cuman akal2an,0
2025-10-04T15:21:38Z,@multatuli1875,Fufufafa nggak bisa  lolos magang karena nggak jelas sekolahnya,0
2025-10-04T15:01:46Z,@asbakhitam7724,"lumayan tenaga murah, untung gw bos",0
2025-10-04T14:50:54Z,@nonanty593,"Magangnya harusnya ya jangan di perusahaan Swasta, ITU MAH SAMA AJA MENUTUP LAPANGAN PEKERJAAN TETAP GA SIH????",0
2025-10-04T14:43:08Z,@salingriz,Magang saja sarjana apalagi mau jadi pejabat kyknya harus s2,0
2025-10-04T14:15:22Z,@arifrahmansabrina5444,Hanya utk sarjana 🤠,1
2025-10-04T13:24:09Z,@sistg-o9g,Mau daftar mejeng aja,1
2025-10-04T13:19:00Z,@alwafi-kn3ko,Truss TUJUANnya magang itu apaaa??. Cm dpt sertificat doang+AKAN disalurkan.<br>tp dsalurkan kmn?? Mmgnya ada brp LPANGAN KERJANnya??<br>pmerintah kok suka kasih HARAPAN PALSU  sih.,5
2025-10-04T13:53:07Z,@dikkefinbimantara1254,"Dikasih solusi salah, ga ngasih solusi salah, lu kira lu pengangguran itu salah pemerintah doang? Perusahaan swasta ga lu salahin? Gw mantan peserta MSIB tahun lalu, jujur terbantu bgt, cuma setelah program ya balik lg keputusan perusahaan swasta mau diambil karyawan atau gaa, karna yg gaji itu swasta bukan pemerintah, PAHAM? Gw dulu MSIB tujuannya supaya Gw dikenal sama perusahaan, Gw punya channel dunia kerja, lebih dekat lagi sama dunia kerja, dll, ga hanya Sertifikat, dll. Jadi lu kalo pengen sukses ya usaha lah anjirrr, jgn ngeluh mulu, emang kebanyakan pengangguran itu org2 yg ga punya strategi, suka ngeluh, dan ga sabaran, dan suka nyalahin org lain kalo lagi nganggur, kaya lu buktinya😂",5
2025-10-04T16:21:12Z,@ariervandi,"@dikkefinbimantara1254 bang udah, Bang. Wkwkwk",0
2025-10-04T16:51:32Z,@alwafi-kn3ko,"​@dikkefinbimantara1254heleehh...jobfair selama ini jg cm akal2an sj spy klihatan pmerintah carikan krj,pdahal tdk ada (pengakuan CEO sendiri looo).<br>kasihankan antre sampe jatuh korban.<br>MAGANG ini tak jauh beda dg itu.ini hanya PROGRAM TERPAKSA utk selamatkan MUKA GIBRAN yg janji 19 juta lap krj.dan buktinya ZONK",0
2025-10-04T12:01:16Z,@hennybrunner8939,"Suara jurnalisnya cempreng bikin sakit kuping. Udah cempreng ngomong nggak pake jeda intonasi titik koma, suaranya kayak suara petasan renteng.",15
2025-10-04T13:18:00Z,@suhe777,@hennybrunner8939 ah kamu lebay...biasa aja suara jurnalisnya..,0
2025-09-29T22:13:18Z,@FidelisNdola,"Paling2 cman di pulau Jawa,",0
2025-09-19T05:28:53Z,@yahyamaryanto6052,Airlangga  cuma  jubir doang....di ajak ngalor  ok diajak ngidul ok......yaah  gak ada pendirian..,0
2025-09-19T02:51:16Z,@Mariyam-o4s,Mantap..,0
2025-09-19T00:25:28Z,@lulukrani4656,menyala bpk mentri ❤❤❤❤😅😅😅😅😅,0
2025-09-18T22:05:13Z,@feraldybarumain993,"SARJANA, D3, YG NGANGGUR MASIH RIBUAN, UTAMAKAN DULU, jangan yg baru lulus aja, tolong pak Mentri !!!!!",0
2025-09-18T22:01:49Z,@feraldybarumain993,"Jangan yg baru lulus aja ,UTAMAKAM YG SUDAH LAMA NGANGGUR, KASIHAN MEREKA SAMPAI PUTUS ASA RATUSAN KALI MELAMAR PEKERJAAN BLM KERJA JUGA. !!!!",0
2025-09-18T20:26:54Z,@alibastomi4594,"Pemuda,,di beri keterampilan di BLK,,,terus kerja di magangkan di luar negri secara matang sesusi dg minat bakatnya,,,itu harus terus meneru secara periodik,,,,para pemudanya ❤❤❤",0
2025-09-18T18:22:06Z,@indahastuti4630,Untuk semua usia ya pak jangan di batasin,0
2025-09-18T16:03:34Z,@apinfirman578,Agak waras nih mentri drpd sri tiap pidato apbn tekor trs bangsat emng,0
2025-09-18T15:28:56Z,@NanikFuroidah,Beneran ya pak❤,0
2025-09-18T14:58:29Z,@Kiwi_buahh,"Nah begitu dong baru mantap, 🙏👍👍",0
2025-09-18T14:44:33Z,@Warman-m9r,Pemerintah itu licik.,0
2025-09-18T14:43:34Z,@rahmanTo7829,SAYA PIKIR 19 JUTA LAPANGAN PEKERJAAN SESUAI JANJI KAMPANYE TEMPO HARI.,0
